,K0,K1,K2,K3,K4,K5,K6,K7,K8,K9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80,U81,U82,U83,U84,U85,U86,U87,U88,U89,U90,U91,U92,U93,U94,U95,U96,U97,U98,U99
Sample0,361.779,19.927,7.321,6.216,1052.176,2353.233,271.042,894.189,129.467,3851.351,1240.752,2.566,2238.018,4.445,774.549,19.901,2287.554,111.412,45.001,49.169,5.726,9.295,604.08,411.067,209.256,55.255,5217.39,2962.91,377.537,452.937,562.158,74.512,13.63,681.708,138.476,36.476,154.542,2358.338,3605.977,51.301,249.715,46.804,317.961,30.869,66.418,2873.908,15.724,416.268,8.571,1657.807,639.707,18.08,1181.344,6.828,41.629,12.673,139.605,882.031,27.183,4.983,75.176,16.762,8.865,330.631,38.694,410.503,12.886,3873.748,74.067,9.67,341.001,3493.554,81.015,2403.862,179.053,100.838,292.573,5416.126,3976.628,133.541,1011.834,109.957,122.178,1084.904,90.128,502.509,525.088,3564.556,9.781,631.572,1544.429,3230.494,4.974,1090.649,5370.379,3666.523,7.186,4892.249,2935.278,1431.105
Sample1,375.225,27.493,7.137,6.45,1084.583,2312.196,251.047,839.487,135.964,2673.409,1028.626,2.924,1990.271,4.548,826.134,14.844,1873.201,164.842,45.844,64.639,5.778,7.492,662.974,481.134,232.637,51.958,5740.551,2935.379,446.879,317.225,534.156,59.594,12.616,739.993,144.349,38.123,155.698,2396.311,3740.914,40.115,257.32,45.85,359.414,32.577,61.488,2707.092,18.88,411.471,7.724,1730.669,660.392,19.542,1512.443,6.529,32.992,12.571,139.762,735.129,29.325,4.331,60.917,17.035,8.144,303.652,40.18,498.46,16.298,3918.563,75.398,9.006,354.273,3744.244,96.499,2827.383,162.836,102.244,334.349,5566.387,4102.835,125.198,945.961,91.341,139.743,1216.494,87.823,565.177,615.055,3624.449,11.633,821.533,2187.015,3437.897,4.748,947.57,5636.19,3417.24,7.513,4874.64,2563.429,1594.622
Sample2,385.256,24.069,7.228,6.46,1073.623,2276.034,242.095,808.935,157.302,3084.973,1363.496,3.424,1855.089,3.867,830.446,14.958,2314.187,148.153,45.703,69.212,5.281,11.143,637.849,420.703,300.058,63.179,5266.537,3396.022,415.217,379.867,529.87,61.292,13.718,615.946,143.902,38.188,164.834,2520.445,3976.199,44.304,216.907,42.385,306.759,32.313,59.927,2882.306,13.51,403.308,7.18,1557.49,682.763,19.697,1599.202,7.027,38.414,14.104,137.423,687.327,29.665,5.723,68.706,17.045,8.599,314.691,40.576,508.789,12.131,4038.216,67.461,9.239,283.456,3535.812,85.196,2605.992,196.091,89.192,365.262,6414.58,3484.318,127.423,1107.903,96.571,156.384,1088.214,86.623,528.97,489.411,2989.901,11.164,830.864,2306.977,4294.898,4.243,1208.524,5806.677,3717.954,7.705,4842.848,2753.263,1374.853
Sample3,348.883,16.898,6.615,6.445,945.068,2629.753,281.501,1001.864,153.628,3045.013,1591.343,2.817,1629.332,3.758,681.485,17.276,2381.779,148.102,43.955,55.746,5.094,9.87,529.405,361.247,259.931,50.164,5445.275,3232.713,344.111,319.511,543.681,65.567,14.645,641.789,150.75,36.989,164.481,2395.548,3794.945,43.247,260.251,40.604,326.339,37.176,68.145,2799.742,13.933,366.377,8.315,1612.997,811.207,19.899,1487.802,6.989,34.013,13.943,101.535,617.867,26.63,4.859,70.315,18.672,9.194,314.435,36.82,380.735,15.589,4041.238,74.304,10.047,247.563,4137.092,82.182,2208.125,171.298,101.502,321.822,5079.541,4320.248,118.84,1108.567,115.084,116.014,1155.95,95.656,536.345,528.383,4034.176,11.704,648.037,2375.843,3043.135,5.954,1395.665,5993.04,3281.353,7.712,4430.613,3071.182,1260.601
Sample4,364.727,26.548,7.12,6.091,1013.1,2451.153,319.825,996.331,143.943,3764.598,1065.819,3.519,2093.502,4.688,736.732,13.647,2099.054,160.638,45.1,53.197,5.672,10.203,663.413,445.695,258.107,47.01,5581.765,3446.917,374.071,322.734,548.392,64.448,13.898,785.69,177.13,41.272,143.841,2414.262,3585.511,53.832,256.845,45.076,316.774,36.541,65.526,2667.924,15.594,400.053,7.109,1632.476,701.697,22.769,1153.002,6.862,33.984,15.079,127.537,811.525,27.136,3.48,57.94,17.163,8.148,315.513,43.099,410.405,15.606,3812.375,73.315,9.926,318.252,3843.226,81.651,2641.754,168.465,119.755,418.35,5975.443,3757.977,129.344,1077.759,111.872,100.093,1168.888,97.823,633.849,548.356,3536.422,9.922,829.7,1926.562,3193.078,5.034,1155.492,5644.425,3336.094,8.781,4515.022,2738.541,1447.454
Sample5,340.65,25.088,8.323,7.221,1069.366,2126.937,319.106,805.163,154.302,3483.894,1337.466,2.571,1954.816,4.496,890.293,16.993,2158.452,121.753,40.569,54.202,5.471,9.266,600.462,416.176,301.399,50.029,5214.3,3000.256,396.182,327.808,541.077,66.735,13.093,587.168,138.933,33.268,153.062,2346.374,3420.887,40.03,234.873,47.441,351.817,43.233,69.938,2614.841,16.178,355.908,6.696,1587.459,814.082,23.339,1411.42,7.865,37.44,15.254,114.804,1029.161,30.283,3.517,62.347,16.566,8.576,305.131,42.567,448.191,15.304,3906.731,70.331,9.592,345.02,3849.731,85.652,2325.818,174.361,114.262,353.753,5435.691,4159.639,126.616,1176.421,100.9,127.17,1215.266,85.183,532.895,599.357,3814.88,9.665,719.118,1776.856,3392.074,5.319,1114.536,4815.737,3644.344,9.498,4404.644,2814.226,1445.393
Sample6,405.875,22.98,7.646,6.803,1026.558,2162.635,316.739,886.812,150.705,3143.76,1439.675,3.216,1895.973,3.545,798.427,16.05,2624.111,116.025,43.886,51.177,4.001,11.912,552.221,406.014,223.284,51.134,5634.322,3583.386,403.646,319.036,484.864,73.521,15.522,653.83,144.159,41.505,145.891,2276.969,3708.512,50.043,250.216,44.517,356.071,35.823,62.795,2851.965,12.755,415.172,6.432,1964.023,703.576,20.269,1467.782,6.946,35.831,13.357,132.178,991.436,31.345,4.297,67.207,16.541,8.712,324.492,42.475,436.048,16.157,4038.429,65.206,9.507,301.147,3844.132,88.34,3359.42,179.275,88.711,403.895,5675.884,4439.163,143.004,982.753,130.692,138.434,1239.413,94.32,546.514,570.72,3759.619,9.284,785.746,1722.131,4181.66,5.182,1295.042,5653.112,3591.454,9.357,4793.327,2963.783,1397.974
Sample7,281.509,24.128,6.497,5.499,1145.826,2779.92,260.238,827.84,117.022,3154.546,1401.52,3.426,1899.401,3.478,831.273,15.94,2547.609,135.645,47.566,65.367,4.91,10.306,680.951,432.943,228.834,46.137,5224.039,2983.071,353.721,382.145,621.616,68.761,12.826,820.456,144.21,39.477,161.272,2387.554,3586.356,46.653,232.393,48.435,353.979,29.43,51.616,2869.963,15.484,382.205,7.116,1624.117,829.53,24.428,1260.627,7.179,41.115,14.369,116.766,780.611,27.051,4.342,56.059,17.553,8.195,314.212,39.572,395.091,15.052,3709.594,77.791,9.804,332.071,3730.84,73.157,2625.501,167.955,89.285,356.591,5536.168,3576.649,128.596,1154.499,115.212,119.366,793.518,98.67,598.887,535.051,3260.334,10.618,727.932,2222.821,3432.251,5.271,1066.993,4692.006,3123.36,5.262,5454.212,2702.7,1218.916
Sample8,355.521,24.227,7.441,6.003,1070.577,2796.096,321.113,900.9,122.423,3180.32,1602.839,3.3,1928.713,4.259,864.462,15.149,1940.393,163.425,42.571,60.906,4.656,10.214,594.162,383.507,220.884,57.699,5091.56,3732.078,442.378,351.499,632.737,71.102,14.419,760.558,142.715,29.744,150.259,1930.504,3299.153,58.237,261.308,47.34,344.513,36.152,55.168,2924.938,12.713,436.021,8.201,1799.487,692.737,24.923,1423.799,8.638,37.773,15.613,133.893,829.467,26.023,4.386,60.251,17.24,8.834,310.216,37.465,433.136,13.861,4049.906,70.842,8.922,240.532,3700.328,78.73,2481.294,168.711,96.016,346.126,6144.049,4226.392,122.024,1126.148,101.877,133.886,1218.685,103.323,546.001,619.666,3022.115,11.707,673.903,2294.622,3450.55,4.842,1182.185,5196.08,2925.932,10.157,3981.16,2325.302,1643.992
Sample9,443.963,26.572,7.43,6.046,1087.64,2166.167,319.827,930.314,124.714,3171.099,1367.931,3.674,1836.972,3.695,813.027,14.81,2278.615,124.048,39.41,66.387,4.859,10.494,631.824,416.523,266.701,53.916,5523.448,3115.951,368.124,346.89,526.396,62.937,14.256,677.261,131.485,40.72,150.533,2494.281,3839.157,50.749,210.254,47.665,374.703,37.77,58.959,2980.953,14.636,379.432,7.802,1857.264,631.894,20.574,1613.163,7.368,32.832,13.285,138.371,778.106,26.776,4.133,78.272,16.312,8.784,317.357,41.473,392.856,14.376,3902.446,71.399,10.119,324.694,3426.05,88.406,2471.696,165.295,100.912,366.957,5110.763,3930.146,144.651,983.233,94.003,121.627,1125.184,95.196,559.729,592.783,3881.679,9.842,783.373,1999.074,3761.691,4.319,1327.671,5339.6,3479.747,8.39,4295.056,2832.439,1483.231
